"id","cislo","nazev","obec","km","ha","typ","region"
"1523","401001","BEROUNKA 1 (H)","Územní svaz města Prahy","10","55","kaprové","Praha"
"1524","401002","BEROUNKA 2 (H)","Územní svaz města Prahy","13","80","kaprové","Praha"
"57444","401206","BIOLOGICKÝ RYBNÍK","Územní svaz města Prahy","","3","kaprové","Praha"
"1525","401003","BOJOVSKÝ POTOK 2","","","","kaprové","Praha"
"1526","401004","BOTIČ 1","Územní svaz města Prahy","33","5","kaprové","Praha"
"1527","401005","BOTIČ 2 - ÚDOLNÍ NÁDR® HOSTIVAŘ","Územní svaz města Prahy","","30","kaprové","Praha"
"57466","401229","Horní rybník Únětice","Územní svaz města Prahy","","1","Ă©kaprov","Praha"
"1528","401006","KOCÁBA 1 A","Územní svaz města Prahy","","5","kaprové","Praha"
"57446","401208","KRÁLOVSKÝ RYBNÍK","Územní svaz města Prahy","","1","kaprové","Praha"
"1529","401029","LABE 20 (H)","Územní svaz města Prahy","9","47","kaprové","Praha"
"1530","401032","LABE 20 A","Územní svaz města Prahy","","41","kaprové","Praha"
"57456","401219","LAHOVICKÁ NÁDR®","","","","kaprové","Praha"
"57467","401230","Malý rybník Únětice","","","","kaprové","Praha"
"1531","401007","MRATÍNSKÝ POTOK 1","Územní svaz města Prahy","15","8","kaprové","Praha"
"57454","401217","NÁDR® JIVINY","Územní svaz města Prahy","","9","kaprové","Praha"
"57455","401218","NÁDR® KBELY","","","","kaprové","Praha"
"57451","401214","NÁDR® SLATINA","Územní svaz města Prahy","","8","kaprové","Praha"
"57445","401207","OL©ANSKÝ RYBNÍK","Územní svaz města Prahy","","5","kaprové","Praha"
"57443","401205","RN KOTLÁŘKA","","","","kaprové","Praha"
"1532","401008","ROKYTKA 1","Územní svaz města Prahy","20","30","kaprové","Praha"
"43759","401203","RYBNÍK CUKROVARSKÝ","","","","kaprové","Praha"
"57458","401221","RYBNÍK HLINÍK","Územní svaz města Prahy","","1","kaprové","Praha"
"43760","401201","RYBNÍK JANKOVÁK","Územní svaz města Prahy","","4","kaprové","Praha"
"57449","401212","RYBNÍK KOUPELNA","","","","kaprové","Praha"
"57457","401220","RYBNÍK LABU«","Územní svaz města Prahy","","1","kaprové","Praha"
"57453","401216","RYBNÍK LIBOCKÝ","Územní svaz města Prahy","","2","kaprové","Praha"
"57450","401213","RYBNÍK MARTIŇÁK","Územní svaz města Prahy","","5","kaprové","Praha"
"57448","401211","RYBNÍK NA DRAHÁCH","","","","kaprové","Praha"
"57465","401228","Rybník Na Korouhvích","Územní svaz města Prahy","","1","kaprové","Praha"
"57468","401231","Rybník Přibylák","","","","kaprové","Praha"
"57447","401210","RYBNÍK PROSTŘEDNÍ","Územní svaz města Prahy","","3","kaprové","Praha"
